timescale,pval,comparison,shed,iteration,hierarchy
hourly,0.11478395851929679,Relative Position,FB,77,Relative Position
30mins,0.6346411188458219,Relative Position,FB,78,Relative Position
4hr,0.4890225270186678,Relative Position,FB,78,Relative Position
daily,0.42894617222269804,Relative Position,FB,78,Relative Position
hourly,0.6173532973123796,Relative Position,FB,78,Relative Position
30mins,0.1821308357141521,Relative Position,FB,79,Relative Position
4hr,0.1115769095774027,Relative Position,FB,79,Relative Position
daily,0.1468084908912811,Relative Position,FB,79,Relative Position
hourly,0.1487942578856807,Relative Position,FB,79,Relative Position
30mins,0.4331922115344752,Relative Position,FB,80,Relative Position
4hr,0.14697806594258706,Relative Position,FB,80,Relative Position
daily,0.21252058094749088,Relative Position,FB,80,Relative Position
hourly,0.4229395761785227,Relative Position,FB,80,Relative Position
30mins,0.7081405351944808,Relative Position,FB,81,Relative Position
4hr,0.5034118772695841,Relative Position,FB,81,Relative Position
daily,0.6135741157810808,Relative Position,FB,81,Relative Position
hourly,0.6932603088807985,Relative Position,FB,81,Relative Position
30mins,0.5390321749916538,Relative Position,FB,82,Relative Position
4hr,0.4840821375111789,Relative Position,FB,82,Relative Position
daily,0.2697264764435654,Relative Position,FB,82,Relative Position
hourly,0.5403053307272121,Relative Position,FB,82,Relative Position
30mins,0.25716522558457566,Relative Position,FB,83,Relative Position
4hr,0.16860092486171158,Relative Position,FB,83,Relative Position
daily,0.13724188222554212,Relative Position,FB,83,Relative Position
hourly,0.21914565537828404,Relative Position,FB,83,Relative Position
30mins,0.46549788507646067,Relative Position,FB,84,Relative Position
4hr,0.25358301816764034,Relative Position,FB,84,Relative Position
daily,0.2283122027718823,Relative Position,FB,84,Relative Position
hourly,0.4136819062226236,Relative Position,FB,84,Relative Position
30mins,0.4172203346639638,Relative Position,FB,85,Relative Position
4hr,0.24081765410139974,Relative Position,FB,85,Relative Position
daily,0.2596946963955802,Relative Position,FB,85,Relative Position
hourly,0.3712692633149049,Relative Position,FB,85,Relative Position
30mins,0.10503717225874255,Relative Position,FB,86,Relative Position
4hr,0.07512045176434348,Relative Position,FB,86,Relative Position
daily,0.07781538547794055,Relative Position,FB,86,Relative Position
hourly,0.09637673684169856,Relative Position,FB,86,Relative Position
30mins,0.1444092599736207,Relative Position,FB,87,Relative Position
4hr,0.09477843776246395,Relative Position,FB,87,Relative Position
daily,0.03132963731381715,Relative Position,FB,87,Relative Position
hourly,0.15296670936056478,Relative Position,FB,87,Relative Position
30mins,0.021960020121859138,Relative Position,FB,88,Relative Position
4hr,0.015420585887573394,Relative Position,FB,88,Relative Position
daily,0.0019703254373609953,Relative Position,FB,88,Relative Position
hourly,0.01916605643859182,Relative Position,FB,88,Relative Position
30mins,0.9143405341365435,Relative Position,FB,89,Relative Position
4hr,0.8436397608690175,Relative Position,FB,89,Relative Position
daily,0.638566294112052,Relative Position,FB,89,Relative Position
hourly,0.9086432044976219,Relative Position,FB,89,Relative Position
30mins,0.3175855819951763,Relative Position,FB,90,Relative Position
4hr,0.18070059756757434,Relative Position,FB,90,Relative Position
daily,0.24599671538388546,Relative Position,FB,90,Relative Position
hourly,0.2811880143282205,Relative Position,FB,90,Relative Position
30mins,0.5838666391706977,Relative Position,FB,91,Relative Position
4hr,0.5094491135180309,Relative Position,FB,91,Relative Position
daily,0.19788775614023094,Relative Position,FB,91,Relative Position
hourly,0.5765144675112532,Relative Position,FB,91,Relative Position
30mins,0.46156438714719555,Relative Position,FB,92,Relative Position
4hr,0.3421761035730451,Relative Position,FB,92,Relative Position
daily,0.18399256214118956,Relative Position,FB,92,Relative Position
hourly,0.4534117780490449,Relative Position,FB,92,Relative Position
30mins,0.20358993394897615,Relative Position,FB,93,Relative Position
4hr,0.1306975877547253,Relative Position,FB,93,Relative Position
daily,0.04087278532728531,Relative Position,FB,93,Relative Position
hourly,0.20198041834436442,Relative Position,FB,93,Relative Position
30mins,0.5700938821538765,Relative Position,FB,94,Relative Position
4hr,0.5811472048455671,Relative Position,FB,94,Relative Position
daily,0.5400952550805539,Relative Position,FB,94,Relative Position
hourly,0.5890234298811567,Relative Position,FB,94,Relative Position
30mins,0.20889513550935235,Relative Position,FB,95,Relative Position
4hr,0.1481370488269658,Relative Position,FB,95,Relative Position
daily,0.08316762066496726,Relative Position,FB,95,Relative Position
hourly,0.13663590491428126,Relative Position,FB,95,Relative Position
30mins,0.7071818275345965,Relative Position,FB,96,Relative Position
4hr,0.7924548314650246,Relative Position,FB,96,Relative Position
daily,0.4246080938652641,Relative Position,FB,96,Relative Position
hourly,0.7093354017695085,Relative Position,FB,96,Relative Position
30mins,0.7892959059835277,Relative Position,FB,97,Relative Position
4hr,0.3356774339741434,Relative Position,FB,97,Relative Position
daily,0.2795447976459009,Relative Position,FB,97,Relative Position
hourly,0.6834018392973573,Relative Position,FB,97,Relative Position
30mins,0.6267546347379362,Relative Position,FB,98,Relative Position
4hr,0.5527936341053118,Relative Position,FB,98,Relative Position
daily,0.44307613459739337,Relative Position,FB,98,Relative Position
hourly,0.6418209828855993,Relative Position,FB,98,Relative Position
30mins,0.2265221549953587,Relative Position,FB,99,Relative Position
4hr,0.12273740901794979,Relative Position,FB,99,Relative Position
daily,0.0804344829227621,Relative Position,FB,99,Relative Position
hourly,0.1810718678334092,Relative Position,FB,99,Relative Position
30mins,0.09285460992758168,Relative Position,FB,100,Relative Position
4hr,0.05354046342332106,Relative Position,FB,100,Relative Position
daily,0.03810307289532932,Relative Position,FB,100,Relative Position
hourly,0.06830870118276529,Relative Position,FB,100,Relative Position
30mins,0.8474514576298224,Drainage Area,FB,1,Drainage Area
4hr,0.8254864881485042,Drainage Area,FB,1,Drainage Area
daily,0.7741590658878619,Drainage Area,FB,1,Drainage Area
hourly,0.8248452056429303,Drainage Area,FB,1,Drainage Area
30mins,0.39372471060052333,Drainage Area,FB,2,Drainage Area
4hr,0.1457605008258155,Drainage Area,FB,2,Drainage Area
daily,0.1317630818616566,Drainage Area,FB,2,Drainage Area
hourly,0.3383477547355698,Drainage Area,FB,2,Drainage Area
30mins,0.15845705325899026,Drainage Area,FB,3,Drainage Area
4hr,0.19277247799313071,Drainage Area,FB,3,Drainage Area
daily,0.0375012725152836,Drainage Area,FB,3,Drainage Area
hourly,0.1392427653605803,Drainage Area,FB,3,Drainage Area
30mins,0.7697891367836969,Drainage Area,FB,4,Drainage Area
4hr,0.6052026575871445,Drainage Area,FB,4,Drainage Area
daily,0.4743074319602075,Drainage Area,FB,4,Drainage Area
hourly,0.7402440826823949,Drainage Area,FB,4,Drainage Area
30mins,0.8502217241563151,Drainage Area,FB,5,Drainage Area
4hr,0.551278029588208,Drainage Area,FB,5,Drainage Area
daily,0.3660607063730319,Drainage Area,FB,5,Drainage Area
hourly,0.7959749900362302,Drainage Area,FB,5,Drainage Area
30mins,0.39312588502166634,Drainage Area,FB,6,Drainage Area
4hr,0.2550954445239728,Drainage Area,FB,6,Drainage Area
daily,0.32645350799576117,Drainage Area,FB,6,Drainage Area
hourly,0.31106535833683935,Drainage Area,FB,6,Drainage Area
30mins,0.8444732178169835,Drainage Area,FB,7,Drainage Area
4hr,0.6857563227264771,Drainage Area,FB,7,Drainage Area
daily,0.30642082863977715,Drainage Area,FB,7,Drainage Area
hourly,0.8043603128066441,Drainage Area,FB,7,Drainage Area
30mins,0.3245715933404157,Drainage Area,FB,8,Drainage Area
4hr,0.24748508080423606,Drainage Area,FB,8,Drainage Area
daily,0.11117796975697465,Drainage Area,FB,8,Drainage Area
hourly,0.33237852727182093,Drainage Area,FB,8,Drainage Area
30mins,0.7307851806261307,Drainage Area,FB,9,Drainage Area
4hr,0.7123124799246894,Drainage Area,FB,9,Drainage Area
daily,0.6121768739547232,Drainage Area,FB,9,Drainage Area
hourly,0.7706378969711551,Drainage Area,FB,9,Drainage Area
30mins,0.2662340711928006,Drainage Area,FB,10,Drainage Area
4hr,0.12253473085606827,Drainage Area,FB,10,Drainage Area
daily,0.034414489924813184,Drainage Area,FB,10,Drainage Area
hourly,0.23020925125695837,Drainage Area,FB,10,Drainage Area
30mins,0.5317907087140041,Drainage Area,FB,11,Drainage Area
