timescale,pval,comparison,shed,iteration,hierarchy
30mins,0.47933914774091657,Relative Position,W3,46,Relative Position
4hr,0.39837121536019326,Relative Position,W3,46,Relative Position
daily,0.143749830056609,Relative Position,W3,46,Relative Position
hourly,0.44802332666071487,Relative Position,W3,46,Relative Position
30mins,0.6463390454586995,Relative Position,W3,47,Relative Position
4hr,0.5047930586537595,Relative Position,W3,47,Relative Position
daily,0.2559748850126029,Relative Position,W3,47,Relative Position
hourly,0.5940744430766949,Relative Position,W3,47,Relative Position
30mins,0.5425564703527035,Relative Position,W3,48,Relative Position
4hr,0.33004787743595354,Relative Position,W3,48,Relative Position
daily,0.10220047566912177,Relative Position,W3,48,Relative Position
hourly,0.5338098072375221,Relative Position,W3,48,Relative Position
30mins,0.4069966418739306,Relative Position,W3,49,Relative Position
4hr,0.2526876508778019,Relative Position,W3,49,Relative Position
daily,0.027638032109031974,Relative Position,W3,49,Relative Position
hourly,0.3377930852486614,Relative Position,W3,49,Relative Position
30mins,0.2814834246249306,Relative Position,W3,50,Relative Position
4hr,0.14325938388317175,Relative Position,W3,50,Relative Position
daily,0.04097924757858829,Relative Position,W3,50,Relative Position
hourly,0.24123413778558214,Relative Position,W3,50,Relative Position
30mins,0.29558715538428876,Relative Position,W3,51,Relative Position
4hr,0.151857953946085,Relative Position,W3,51,Relative Position
daily,0.04175537342508139,Relative Position,W3,51,Relative Position
hourly,0.23273697109976837,Relative Position,W3,51,Relative Position
30mins,0.6725706404320384,Relative Position,W3,52,Relative Position
4hr,0.4744546653153738,Relative Position,W3,52,Relative Position
daily,0.2200690343123115,Relative Position,W3,52,Relative Position
hourly,0.6106746476147227,Relative Position,W3,52,Relative Position
30mins,0.6136471853239298,Relative Position,W3,53,Relative Position
4hr,0.42672513166084225,Relative Position,W3,53,Relative Position
daily,0.2296708834282502,Relative Position,W3,53,Relative Position
hourly,0.5608713052558068,Relative Position,W3,53,Relative Position
30mins,0.602104859214862,Relative Position,W3,54,Relative Position
4hr,0.4140040777271179,Relative Position,W3,54,Relative Position
daily,0.08135682542120985,Relative Position,W3,54,Relative Position
hourly,0.5746469449602748,Relative Position,W3,54,Relative Position
30mins,0.0669014349333625,Relative Position,W3,55,Relative Position
4hr,0.014102031506633058,Relative Position,W3,55,Relative Position
daily,0.0057153293176153775,Relative Position,W3,55,Relative Position
hourly,0.04312420006905613,Relative Position,W3,55,Relative Position
30mins,0.4780430529175819,Relative Position,W3,56,Relative Position
4hr,0.2108449683004588,Relative Position,W3,56,Relative Position
daily,0.09339439468662013,Relative Position,W3,56,Relative Position
hourly,0.3963471007533953,Relative Position,W3,56,Relative Position
30mins,0.6674069277283595,Relative Position,W3,57,Relative Position
4hr,0.4061181575978976,Relative Position,W3,57,Relative Position
daily,0.11776664395460239,Relative Position,W3,57,Relative Position
hourly,0.590573858543374,Relative Position,W3,57,Relative Position
30mins,0.4103020220019617,Relative Position,W3,58,Relative Position
4hr,0.3989509261310855,Relative Position,W3,58,Relative Position
daily,0.10928996802482024,Relative Position,W3,58,Relative Position
hourly,0.39470925722939015,Relative Position,W3,58,Relative Position
30mins,0.3582316945832822,Relative Position,W3,59,Relative Position
4hr,0.22590153055144324,Relative Position,W3,59,Relative Position
daily,0.10056540209904181,Relative Position,W3,59,Relative Position
hourly,0.33907017977026055,Relative Position,W3,59,Relative Position
30mins,0.5398752738622071,Relative Position,W3,60,Relative Position
4hr,0.41761289870310864,Relative Position,W3,60,Relative Position
daily,0.25944415068534143,Relative Position,W3,60,Relative Position
hourly,0.5145755527597886,Relative Position,W3,60,Relative Position
30mins,0.5050923152381894,Relative Position,W3,61,Relative Position
4hr,0.3335925536945884,Relative Position,W3,61,Relative Position
daily,0.18920070249421053,Relative Position,W3,61,Relative Position
hourly,0.47595024646129275,Relative Position,W3,61,Relative Position
30mins,0.4280998727137159,Relative Position,W3,62,Relative Position
4hr,0.331315755305143,Relative Position,W3,62,Relative Position
daily,0.14759256506174448,Relative Position,W3,62,Relative Position
hourly,0.3929747298035354,Relative Position,W3,62,Relative Position
30mins,0.4424849688111818,Relative Position,W3,63,Relative Position
4hr,0.31701290218769246,Relative Position,W3,63,Relative Position
daily,0.11322020498215742,Relative Position,W3,63,Relative Position
hourly,0.37928307555453045,Relative Position,W3,63,Relative Position
30mins,0.7309630084810383,Relative Position,W3,64,Relative Position
4hr,0.5319190433935395,Relative Position,W3,64,Relative Position
daily,0.16126111659088596,Relative Position,W3,64,Relative Position
hourly,0.7032881461978174,Relative Position,W3,64,Relative Position
30mins,0.48522520040207495,Relative Position,W3,65,Relative Position
4hr,0.31186172816735735,Relative Position,W3,65,Relative Position
daily,0.13401125607248707,Relative Position,W3,65,Relative Position
hourly,0.45109552690202487,Relative Position,W3,65,Relative Position
30mins,0.6563351162772632,Relative Position,W3,66,Relative Position
4hr,0.5035947721849144,Relative Position,W3,66,Relative Position
daily,0.30568290149960886,Relative Position,W3,66,Relative Position
hourly,0.5719993158641723,Relative Position,W3,66,Relative Position
30mins,0.36423143829100735,Relative Position,W3,67,Relative Position
4hr,0.24223349851735598,Relative Position,W3,67,Relative Position
daily,0.14149288786566577,Relative Position,W3,67,Relative Position
hourly,0.31602759555354293,Relative Position,W3,67,Relative Position
30mins,0.6267020725385773,Relative Position,W3,68,Relative Position
4hr,0.4464384351125392,Relative Position,W3,68,Relative Position
daily,0.14747712969253468,Relative Position,W3,68,Relative Position
