timescale,pval,comparison,shed,iteration,hierarchy
4hr,0.32670895439505854,Relative Position,ZZ,44,Relative Position
daily,0.24332027248867705,Relative Position,ZZ,44,Relative Position
hourly,0.3782702078953405,Relative Position,ZZ,44,Relative Position
30mins,0.3292266914104085,Relative Position,ZZ,45,Relative Position
4hr,0.2553735276252751,Relative Position,ZZ,45,Relative Position
daily,0.1588831072968145,Relative Position,ZZ,45,Relative Position
hourly,0.29031156001661557,Relative Position,ZZ,45,Relative Position
30mins,0.1744551299706705,Relative Position,ZZ,46,Relative Position
4hr,0.08101558671578936,Relative Position,ZZ,46,Relative Position
daily,0.009899486579932625,Relative Position,ZZ,46,Relative Position
hourly,0.13847619867425065,Relative Position,ZZ,46,Relative Position
30mins,0.3514392764501396,Relative Position,ZZ,47,Relative Position
4hr,0.310053900473949,Relative Position,ZZ,47,Relative Position
daily,0.11330700338889221,Relative Position,ZZ,47,Relative Position
hourly,0.3505351147126551,Relative Position,ZZ,47,Relative Position
30mins,0.22422468028502096,Relative Position,ZZ,48,Relative Position
4hr,0.15018474827551026,Relative Position,ZZ,48,Relative Position
daily,0.08122488495854376,Relative Position,ZZ,48,Relative Position
hourly,0.20333664993760744,Relative Position,ZZ,48,Relative Position
30mins,0.22443447468260508,Relative Position,ZZ,49,Relative Position
4hr,0.1621958585969948,Relative Position,ZZ,49,Relative Position
daily,0.10320867334596644,Relative Position,ZZ,49,Relative Position
hourly,0.21740435555263077,Relative Position,ZZ,49,Relative Position
30mins,0.3327630898681345,Relative Position,ZZ,50,Relative Position
4hr,0.30271828057393413,Relative Position,ZZ,50,Relative Position
daily,0.09489470180454425,Relative Position,ZZ,50,Relative Position
hourly,0.32407565895171275,Relative Position,ZZ,50,Relative Position
30mins,0.20186227782569696,Relative Position,ZZ,51,Relative Position
4hr,0.07576542270436953,Relative Position,ZZ,51,Relative Position
daily,0.06698779923070836,Relative Position,ZZ,51,Relative Position
hourly,0.1619392982533599,Relative Position,ZZ,51,Relative Position
30mins,0.47902527332413597,Relative Position,ZZ,52,Relative Position
4hr,0.3199521283037605,Relative Position,ZZ,52,Relative Position
daily,0.3369455480096402,Relative Position,ZZ,52,Relative Position
hourly,0.4509291830741197,Relative Position,ZZ,52,Relative Position
30mins,0.2122149278958885,Relative Position,ZZ,53,Relative Position
4hr,0.1318165630847631,Relative Position,ZZ,53,Relative Position
daily,0.04427253992227948,Relative Position,ZZ,53,Relative Position
hourly,0.20284437948836873,Relative Position,ZZ,53,Relative Position
30mins,0.7034541096277016,Relative Position,ZZ,54,Relative Position
4hr,0.5767871110605118,Relative Position,ZZ,54,Relative Position
daily,0.4294953376169493,Relative Position,ZZ,54,Relative Position
hourly,0.6676164842120029,Relative Position,ZZ,54,Relative Position
30mins,0.32947781960412825,Relative Position,ZZ,55,Relative Position
4hr,0.2760448675367152,Relative Position,ZZ,55,Relative Position
daily,0.0930823799583801,Relative Position,ZZ,55,Relative Position
hourly,0.3377129992057355,Relative Position,ZZ,55,Relative Position
30mins,0.5215298040400067,Relative Position,ZZ,56,Relative Position
4hr,0.41016384899355324,Relative Position,ZZ,56,Relative Position
daily,0.2000987176588454,Relative Position,ZZ,56,Relative Position
hourly,0.5291575759556819,Relative Position,ZZ,56,Relative Position
30mins,0.3461550514031377,Relative Position,ZZ,57,Relative Position
4hr,0.17924451240611144,Relative Position,ZZ,57,Relative Position
daily,0.059224134494282564,Relative Position,ZZ,57,Relative Position
hourly,0.2993218070569261,Relative Position,ZZ,57,Relative Position
30mins,0.42239519771486295,Relative Position,ZZ,58,Relative Position
4hr,0.3156059116347103,Relative Position,ZZ,58,Relative Position
daily,0.14408991166645205,Relative Position,ZZ,58,Relative Position
hourly,0.4331930585352603,Relative Position,ZZ,58,Relative Position
30mins,0.41504675922026607,Relative Position,ZZ,59,Relative Position
