up,down,total,points,prop,timescale,shed,hierarchy
r_6,r_10,37,16,0.43243243243243246,hourly,W3,Duration of Flow
r_7,r_20,41,40,0.975609756097561,hourly,W3,Duration of Flow
r_8,r_1,72,30,0.4166666666666667,hourly,W3,Duration of Flow
r_9,r_8,86,59,0.686046511627907,hourly,W3,Duration of Flow
r_1,r_2,65,46,0.7076923076923077,4hr,W3,Duration of Flow
r_10,r_19,11,8,0.7272727272727273,4hr,W3,Duration of Flow
r_11,r_23,66,34,0.5151515151515151,4hr,W3,Duration of Flow
r_13,r_9,63,20,0.31746031746031744,4hr,W3,Duration of Flow
r_14,r_5,77,16,0.2077922077922078,4hr,W3,Duration of Flow
r_15,r_28,48,23,0.4791666666666667,4hr,W3,Duration of Flow
r_16,r_24,76,17,0.2236842105263158,4hr,W3,Duration of Flow
r_17,r_7,53,39,0.7358490566037735,4hr,W3,Duration of Flow
r_18,r_11,68,16,0.23529411764705882,4hr,W3,Duration of Flow
r_19,r_12,9,6,0.6666666666666666,4hr,W3,Duration of Flow
r_2,r_14,93,55,0.5913978494623656,4hr,W3,Duration of Flow
r_20,r_18,64,23,0.359375,4hr,W3,Duration of Flow
r_21,r_13,96,8,0.08333333333333333,4hr,W3,Duration of Flow
r_22,r_16,91,72,0.7912087912087912,4hr,W3,Duration of Flow
r_23,r_6,43,34,0.7906976744186046,4hr,W3,Duration of Flow
r_24,r_21,84,66,0.7857142857142857,4hr,W3,Duration of Flow
r_27,r_17,80,41,0.5125,4hr,W3,Duration of Flow
r_28,r_22,74,65,0.8783783783783784,4hr,W3,Duration of Flow
r_29,r_15,66,15,0.22727272727272727,4hr,W3,Duration of Flow
r_3,r_27,64,37,0.578125,4hr,W3,Duration of Flow
r_5,r_3,56,17,0.30357142857142855,4hr,W3,Duration of Flow
r_6,r_10,20,7,0.35,4hr,W3,Duration of Flow
r_7,r_20,27,26,0.9629629629629629,4hr,W3,Duration of Flow
r_8,r_1,62,16,0.25806451612903225,4hr,W3,Duration of Flow
r_9,r_8,72,54,0.75,4hr,W3,Duration of Flow
r_1,r_2,35,16,0.45714285714285713,daily,W3,Duration of Flow
r_10,r_19,6,6,1,daily,W3,Duration of Flow
r_11,r_23,24,12,0.5,daily,W3,Duration of Flow
r_13,r_9,34,8,0.23529411764705882,daily,W3,Duration of Flow
r_14,r_5,39,10,0.2564102564102564,daily,W3,Duration of Flow
r_15,r_28,20,4,0.2,daily,W3,Duration of Flow
r_16,r_24,48,5,0.10416666666666667,daily,W3,Duration of Flow
r_17,r_7,38,26,0.6842105263157895,daily,W3,Duration of Flow
r_18,r_11,19,3,0.15789473684210525,daily,W3,Duration of Flow
r_2,r_14,44,22,0.5,daily,W3,Duration of Flow
r_20,r_18,15,5,0.3333333333333333,daily,W3,Duration of Flow
r_21,r_13,44,3,0.06818181818181818,daily,W3,Duration of Flow
r_22,r_16,55,43,0.7818181818181819,daily,W3,Duration of Flow
r_23,r_6,17,13,0.7647058823529411,daily,W3,Duration of Flow
r_24,r_21,39,26,0.6666666666666666,daily,W3,Duration of Flow
r_27,r_17,54,25,0.46296296296296297,daily,W3,Duration of Flow
r_28,r_22,41,28,0.6829268292682927,daily,W3,Duration of Flow
r_29,r_15,24,7,0.2916666666666667,daily,W3,Duration of Flow
r_3,r_27,40,19,0.475,daily,W3,Duration of Flow
r_5,r_3,40,13,0.325,daily,W3,Duration of Flow
r_6,r_10,10,4,0.4,daily,W3,Duration of Flow
r_7,r_20,15,15,1,daily,W3,Duration of Flow
