up,down,total,points,prop,timescale,shed,hierarchy
r_13,r_14,32,19,0.59375,daily,ZZ,Flow Permanence
r_14,r_7,26,4,0.15384615384615385,daily,ZZ,Flow Permanence
r_15,r_6,21,18,0.8571428571428571,daily,ZZ,Flow Permanence
r_16,r_21,45,26,0.5777777777777777,daily,ZZ,Flow Permanence
r_17,r_9,51,11,0.21568627450980393,daily,ZZ,Flow Permanence
r_18,r_11,19,3,0.15789473684210525,daily,ZZ,Flow Permanence
r_19,r_4,13,0,0,daily,ZZ,Flow Permanence
r_2,r_28,45,0,0,daily,ZZ,Flow Permanence
r_20,r_8,28,0,0,daily,ZZ,Flow Permanence
r_21,r_10,11,9,0.8181818181818182,daily,ZZ,Flow Permanence
r_22,r_2,59,50,0.847457627118644,daily,ZZ,Flow Permanence
r_23,r_3,27,0,0,daily,ZZ,Flow Permanence
r_24,r_16,48,35,0.7291666666666666,daily,ZZ,Flow Permanence
r_25,r_13,23,0,0,daily,ZZ,Flow Permanence
r_26,r_1,19,0,0,daily,ZZ,Flow Permanence
r_27,r_22,59,2,0.03389830508474576,daily,ZZ,Flow Permanence
r_3,r_27,40,19,0.475,daily,ZZ,Flow Permanence
r_4,r_17,24,0,0,daily,ZZ,Flow Permanence
r_5,r_20,29,22,0.7586206896551724,daily,ZZ,Flow Permanence
r_6,r_25,14,4,0.2857142857142857,daily,ZZ,Flow Permanence
r_7,r_24,33,1,0.030303030303030304,daily,ZZ,Flow Permanence
r_8,r_15,43,3,0.06976744186046512,daily,ZZ,Flow Permanence
r_9,r_26,16,12,0.75,daily,ZZ,Flow Permanence
